"EntrezID" "Symbol" "A_1_L01_FlowCellA" "A_2_L01_FlowCellA" "A_3_L01_FlowCellA" "A_4_L01_FlowCellA" "A_5_L01_FlowCellA" "B_1_L01_FlowCellA" "B_2_L01_FlowCellA" "B_3_L01_FlowCellA" "B_4_L01_FlowCellA" "B_5_L01_FlowCellB"
"3" "29974" "A1CF" 21 33 26 34 31 0 0 0 0 0
"6" "2" "A2M" 2683 2212 2769 3344 2803 911 841 960 753 597
"7" "144568" "A2ML1" 4 1 1 2 5 12 13 12 7 14
"8" "3" "A2MP1" 1 0 2 3 1 1 5 5 2 6
"9" "53947" "A4GALT" 44 34 35 38 36 34 31 22 28 10
"10" "51146" "A4GNT" 1 0 0 0 0 1 0 0 1 1
"11" "100329167" "AAA1" 5 4 7 13 11 1 2 0 0 0
"12" "8086" "AAAS" 369 266 335 383 316 183 154 154 141 112
"13" "65985" "AACS" 202 170 211 243 203 285 267 332 218 175
"15" "13" "AADAC" 0 1 0 1 0 0 0 0 0 0
"16" "344752" "AADACL2" 1 0 0 0 0 0 0 0 0 0
"17" "126767" "AADACL3" 0 0 0 0 1 0 0 0 0 0
"18" "343066" "AADACL4" 0 0 0 0 0 0 0 0 0 0
"19" "51166" "AADAT" 48 26 42 49 40 42 45 45 41 32
"20" "79719" "AAGAB" 302 238 273 336 322 195 179 210 149 142
"21" "22848" "AAK1" 163 145 230 232 214 1230 1252 1400 1017 946
"22" "14" "AAMP" 548 421 461 588 491 525 511 500 414 282
"23" "15" "AANAT" 11 4 5 6 4 3 8 2 3 0
"24" "16" "AARS" 1137 977 1154 1339 1175 1295 1321 1431 1098 822
"25" "57505" "AARS2" 237 177 223 266 216 168 147 143 111 75
"26" "80755" "AARSD1" 153 141 164 184 144 184 155 170 111 106
"27" "132949" "AASDH" 57 59 62 75 83 73 71 101 62 39
"28" "60496" "AASDHPPT" 204 185 252 344 270 461 452 586 402 377
"29" "10157" "AASS" 103 94 138 143 164 117 129 127 96 89
"30" "26574" "AATF" 308 295 340 337 310 142 149 152 101 104
"31" "9625" "AATK" 46 24 33 42 22 1521 1474 1459 1078 675
"32" "18" "ABAT" 119 117 128 160 108 1643 1671 1744 1242 1001
"33" "19" "ABCA1" 150 127 191 208 190 99 67 84 71 73
"35" "26154" "ABCA12" 7 18 7 21 26 1 1 0 4 3
"36" "154664" "ABCA13" 6 3 7 4 2 0 0 2 1 1
"37" "650655" "ABCA17P" 4 0 9 10 6 26 26 27 16 17
"38" "20" "ABCA2" 766 590 698 829 606 6055 5703 5645 4278 2930
"39" "21" "ABCA3" 154 122 151 165 155 1103 1092 1101 825 598
"40" "24" "ABCA4" 22 17 14 30 19 10 6 4 4 3
"41" "23461" "ABCA5" 101 102 118 155 159 359 356 445 292 318
"42" "10347" "ABCA7" 317 219 269 312 238 232 223 205 194 117
"43" "10351" "ABCA8" 19 17 13 17 11 263 266 268 223 190
"44" "5243" "ABCB1" 27 24 22 37 30 126 122 154 100 71
"45" "23456" "ABCB10" 138 125 158 168 131 104 82 94 69 75
"46" "56476" "ABCB10P1" 0 0 0 1 1 1 1 1 0 0
"47" "728248" "ABCB10P3" 9 6 4 6 8 0 1 5 2 0
"48" "100132289" "ABCB10P4" 1 0 1 3 1 1 0 0 0 0
"49" "8647" "ABCB11" 2 0 1 2 1 1 0 0 0 0
"50" "5244" "ABCB4" 19 12 12 9 21 5 7 1 2 3
"51" "340273" "ABCB5" 29 35 44 41 51 1 0 1 0 0
"52" "22" "ABCB7" 175 156 182 187 199 81 64 79 69 60
"54" "23457" "ABCB9" 45 38 46 54 44 156 130 163 140 85
"55" "4363" "ABCC1" 652 577 654 791 644 108 91 84 71 46
"56" "89845" "ABCC10" 150 128 135 176 142 152 155 158 133 87
"57" "85320" "ABCC11" 0 3 6 2 2 7 7 3 1 3
"58" "94160" "ABCC12" 0 0 0 2 0 14 15 27 10 9
"59" "150000" "ABCC13" 0 0 0 0 0 2 0 0 0 1
"60" "1244" "ABCC2" 411 373 448 574 481 8 4 4 5 4
"61" "8714" "ABCC3" 179 135 169 197 168 5 3 12 6 6
"62" "10257" "ABCC4" 215 195 198 268 233 24 28 24 27 25
"63" "10057" "ABCC5" 239 204 238 305 230 687 680 745 560 477
"64" "368" "ABCC6" 58 38 47 67 48 5 5 3 1 3
"65" "653190" "ABCC6P1" 26 31 27 26 26 3 2 3 1 0
"66" "730013" "ABCC6P2" 6 2 4 5 2 0 1 0 0 0
"67" "6833" "ABCC8" 3 1 1 1 3 467 466 494 380 265
"68" "10060" "ABCC9" 4 3 5 7 4 71 67 77 65 57
"69" "215" "ABCD1" 206 162 177 225 142 26 21 24 25 10
"71" "225" "ABCD2" 1 1 4 6 1 99 94 137 117 96
"72" "5825" "ABCD3" 264 226 274 335 299 207 189 229 210 131
"73" "5826" "ABCD4" 253 169 225 278 250 288 280 329 267 177
"74" "6059" "ABCE1" 387 364 456 571 482 190 178 203 133 146
"75" "23" "ABCF1" 788 609 816 818 719 271 239 274 209 150
"76" "10061" "ABCF2" 394 337 374 459 388 283 256 306 225 198
"77" "55324" "ABCF3" 252 183 301 284 232 413 363 387 274 237
"78" "9619" "ABCG1" 136 114 130 156 119 154 145 180 132 116
"79" "9429" "ABCG2" 34 26 39 51 42 170 154 156 160 96
"80" "64137" "ABCG4" 6 5 5 5 3 207 182 200 146 124
"81" "64240" "ABCG5" 22 11 17 19 22 1 1 4 2 0
"82" "64241" "ABCG8" 14 12 7 7 11 5 5 4 2 4
"83" "84696" "ABHD1" 7 6 4 4 8 5 3 8 8 7
"84" "55347" "ABHD10" 124 121 137 182 152 220 200 231 185 178
